LABELS
SEPARATOR TAB

DATA
20298_3_42	Alistipes shahii (0.053%)
P1729	Lactobacillus_G (0.0%)
P1733	Lactobacillus_H (0.0%)
P1275	Collinsella (0.004%)
P1402	CAG-1427 (0.007%)
P1282	Collinsella (0.001%)
P1740	Lactobacillus_C rhamnosus (0.0%)
P1407	CAG-1427 (0.004%)
P1745	Lactobacillus_C paracasei (0.0%)
P239	Helicobacteraceae (0.0%)
P3128	Blautia (0.02%)
P2596	CAG-245 (0.02%)
P3240	Ruminococcus_B (0.039%)
P243	Helicobacter_D (0.0%)
P2603	CAG-465 (0.005%)
P3134	Robinsoniella (0.001%)
P248	Campylobacteraceae (0.0%)
P3248	Ruminococcus_B gnavus (0.084%)
P2609	Clostridium_P perfringens (0.0%)
P3257	Ruminococcus_B faecis (0.406%)
P3147	CAG-56 (0.072%)
P18	Escherichia (0.0%)
P2372	Oscillospirales (0.012%)
P2269	DTU089 (0.032%)
P2711	CAG-145 (0.036%)
P2377	CAG-272 (0.011%)
P2926	Hungatella (0.023%)
P2716	Emergencia (0.012%)
P2387	CAG-272 (0.013%)
P2721	UBA1191 (0.067%)
P2939	Eubacterium_G ventriosum (0.135%)
P2282	Ruminococcus_D bicirculans (0.497%)
P2394	Oscillospirales (0.017%)
P119	Succinivibrionaceae (0.001%)
P2811	Anaerostipes hadrus (0.258%)
P2167	DTU089 (0.055%)
P980	Actinomyces_B (0.009%)
P410	Bacteroides (0.036%)
P126	Pseudomonadales (0.0%)
P414	Bacteroides caccae (0.08%)
P2170	DTU089 (0.033%)
P986	Actinomyces_B (0.001%)
P129	Acinetobacter (0.0%)
P2825	Anaerostipes caccae (0.032%)
P990	Actinomycetaceae (0.001%)
P420	Bacteroides thetaiotaomicron (0.228%)
P135	Burkholderiaceae (0.002%)
P2832	Coprococcus (0.63%)
P998	Cutibacterium (0.0%)
P1410	CAG-1427 (0.038%)
P2060	Oscillospiraceae (0.065%)
P629	Barnesiella intestinihominis (0.014%)
P1850	Bacilli (0.0%)
P1954	Dialister (0.005%)
P1416	Eggerthellaceae (0.013%)
P852	TM7x (0.004%)
P2065	F23-B02 (0.06%)
P745	RC9 (0.007%)
P1858	Paenibacillaceae (0.0%)
P749	RC9 (0.002%)
P1424	Eggerthellaceae (0.081%)
P2075	Oscillospiraceae (0.121%)
P863	Fusobacterium_A (0.0%)
P646	Bacteroidales (0.021%)
P758	CAG-831 (0.005%)
P1872	Firmicutes (0.003%)
P2080	CAG-103 (0.387%)
P3035	Eisenbergiella (0.023%)
P1637	UBA660 (0.003%)
P300	Elusimicrobiaceae (0.002%)
P272	Spirochaetia (0.008%)
P3044	CAG-24 (0.218%)
P1647	Enterococcus_D gallinarum (0.0%)
P255	Bilophila (0.226%)
P3053	Blautia_A (0.059%)
P1656	Enterococcus_B (0.034%)
P3058	Blautia_A (0.309%)
P1160	Collinsella (0.0%)
P1530	Beduini (0.001%)
P2399	Oscillospirales (0.01%)
P3153	Lachnospiraceae (0.223%)
P525	Prevotella (0.007%)
P1542	RFN20 (0.007%)
P2411	CAG-41 (0.011%)
P3164	Lachnospiraceae (0.134%)
P2518	Christensenellales (0.005%)
P539	Bacteroidaceae (0.051%)
P1180	Collinsella aerofaciens (0.0%)
P3170	CAG-81 (0.211%)
P1551	CAG-288 (1.102%)
P2415	Clostridia (0.012%)
P1074	Collinsella (0.002%)
P27	Escherichia coli (0.001%)
P35	Escherichia coli (0.003%)
P1082	Collinsella (0.007%)
P41	Escherichia (0.001%)
P1293	Collinsella (0.019%)
P2296	Ruminococcaceae (0.045%)
P1760	Lactobacillus_H (0.0%)
P3267	Ruminococcus_B torques (0.043%)
P2300	Ruminococcus_C (0.433%)
P2187	Ruminococcus_E (0.077%)
P2193	DTU089 (0.013%)
P2737	Intestinibacter (0.01%)
P2959	Roseburia (0.094%)
P2747	Peptostreptococcaceae (0.002%)
P2201	DTU089 (0.044%)
P2964	Lachnospiraceae (0.567%)
P261	Desulfovibrio (0.049%)
P1974	ER4 (0.373%)
P652	Parabacteroides distasonis (0.146%)
P765	Odoribacter (0.301%)
P2626	Clostridium (0.0%)
P1980	CAG-83 (0.211%)
P2629	Clostridium saudiense (0.002%)
P179	Helicobacter (0.0%)
P1009	Collinsella (0.002%)
P1987	CAG-83 (0.152%)
P774	Butyricimonas (0.137%)
P667	Parabacteroides (0.042%)
P2636	Clostridium (0.063%)
P2857	Butyrivibrio_A (0.838%)
P139	Sutterella (0.0%)
P871	Fusobacterium_B (0.0%)
P433	Bacteroides fragilis (0.379%)
P1878	Acidaminococcaceae (0.007%)
P2088	CAG-110 (0.174%)
P3179	Tyzzerella sp1 (0.012%)
P1557	CAG-313 (0.062%)
P149	Burkholderiaceae (0.024%)
P3064	Blautia_A obeum (0.293%)
P3184	Tyzzerella (0.135%)
P879	Fusobacterium animalis (0.0%)
P1882	Phascolarctobacterium (0.003%)
P445	Bacteroides (0.041%)
P1562	CAG-307 (0.005%)
P152	Parasutterella (0.463%)
P3187	Sellimonas (0.057%)
P1568	Turicibacter (0.001%)
P158	CAG-521 (0.0%)
P3079	Blautia_A (0.025%)
P450	Bacteroides stercoris (0.063%)
P2099	Oscillospiraceae (0.021%)
P3190	Coprococcus_B comes (0.336%)
P1891	CAG-207 (0.002%)
P1317	Collinsella (0.006%)
P1435	Slackia_A (0.009%)
P547	Prevotellamassilia (0.004%)
P2526	CAG-74 (0.089%)
P2315	Ruminococcaceae (0.044%)
P555	Bacteroidaceae (0.101%)
P1661	Enterococcus faecalis (0.0%)
P2541	Clostridia (0.083%)
P2322	Ruminiclostridium_E (0.018%)
P2326	CAG-115 (0.57%)
P1457	Eubacterium_D (0.089%)
P1338	Collinsella (0.005%)
P1674	Enterococcus faecalis (0.0%)
P48	Escherichia (0.0%)
P1191	Collinsella (0.001%)
P54	Citrobacter (0.0%)
P2428	Clostridia (0.037%)
P1194	Collinsella (0.0%)
P2432	Clostridia (0.009%)
P58	Klebsiella pneumoniae (0.0%)
P1200	Collinsella (0.002%)
P2438	CAG-727 (0.011%)
P68	Enterobacteriaceae (0.0%)
P1086	Collinsella (0.003%)
P461	Bacteroides cellulosilyticus (1.113%)
P471	Bacteroidaceae (0.035%)
P1777	Lactobacillus_B ruminis (0.002%)
P2860	CAG-882 (0.006%)
P165	Burkholderiaceae (0.001%)
P342	Bacteroides_B vulgatus (0.013%)
P339	Synergistales (0.005%)
P168	Achromobacter xylosoxidans (0.0%)
P1784	Streptococcus (0.004%)
P348	Bacteroides_B vulgatus (0.042%)
P2650	Clostridium paraputrificum (0.0%)
P306	Gastranaerophilaceae (0.005%)
P2867	Lachnospira (0.448%)
P2655	Clostridiaceae (0.0%)
P1789	Streptococcus (0.006%)
P14	RF32 (0.0%)
P2659	Clostridium_J sp1 (0.003%)
P312	Zag1 (0.022%)
P2875	Lachnospira (0.032%)
P2751	Clostridioides (0.001%)
P2105	CAG-170 (0.459%)
P2216	Eubacterium_R (0.523%)
P2220	Eubacterium_R (0.017%)
P2772	Lachnospirales (0.118%)
P2119	Agathobaculum (0.328%)
P183	Helicobacter (0.0%)
P570	CAG-279 (0.011%)
P1996	CAG-83 (0.073%)
P2972	Agathobacter (1.521%)
P915	Bifidobacterium breve (0.001%)
P2001	Oscillibacter (0.273%)
P2975	Agathobacter rectalis (1.193%)
P579	CAG-485 (0.006%)
P196	Helicobacter pylori_BT (0.0%)
P2983	Roseburia (0.088%)
P925	Bifidobacterium bifidum (0.0%)
P2008	Oscillibacter (0.251%)
P2986	Roseburia inulinivorans (0.065%)
P786	Bacteroidia (0.01%)
P673	Parabacteroides (0.253%)
P1574	CAG-302 (0.0%)
P1464	Eubacterium_D sp1 (0.081%)
P1901	Acidaminococcus (0.003%)
P1347	Collinsella (0.002%)
P686	Porphyromonas (0.002%)
P1582	UBA660 (0.005%)
P1473	Erysipelotrichaceae (0.022%)
P1214	Collinsella (0.004%)
P792	Prevotella (0.01%)
P1028	Collinsella (0.012%)
P1480	Erysipelotrichaceae (0.115%)
P690	Porphyromonas (0.001%)
P1360	Collinsella (0.016%)
P1585	UBA660 (0.003%)
P1908	Selenomonadaceae (0.001%)
P1222	Collinsella (0.003%)
P2550	CAG-269 (0.045%)
P3086	Blautia_A (0.489%)
P2445	UBA10281 (0.002%)
P2554	CAG-269 (0.014%)
P2449	CAG-727 (0.003%)
P3091	Blautia_A (0.048%)
P3201	Dorea longicatena (0.468%)
P2457	CAG-314 (0.003%)
P2565	CAG-508 (0.002%)
P2334	Faecalibacterium (1.565%)
P2337	Faecalibacterium (1.966%)
P2885	Clostridium_M clostridioformis (0.027%)
P2345	Ruminococcaceae (0.135%)
P2894	Clostridium_M citroniae (0.037%)
P1800	Streptococcus (0.001%)
P71	Klebsiella_A oxytoca (0.0%)
P76	Klebsiella_A (0.0%)
P3	CAG-239 (0.711%)
P1809	Bacillales (0.0%)
P84	Enterobacter (0.0%)
P1816	Bacillus (0.0%)
P3101	Blautia_A (1.137%)
P360	Bacteroides_B vulgatus (0.03%)
P932	Bifidobacterium (0.001%)
P2233	Eubacterium_R (0.025%)
P2671	Clostridia (0.023%)
P1096	Collinsella (0.002%)
P2675	Helcococcaceae (0.002%)
P371	Bacteroides_A (0.077%)
P943	Bifidobacterium pseudocatenulatum (0.0%)
P2678	Anaerococcus (0.0%)
P3119	Fusicatenibacter (1.009%)
P380	Bacteroides_A (0.027%)
P955	Bifidobacterium (0.001%)
P3125	Blautia (0.028%)
P476	Bacteroidaceae (0.078%)
P699	Alistipes_A (0.306%)
P2777	Lachnospiraceae (0.069%)
P2022	Intestinimonas (0.226%)
P2785	TF01-11 (0.067%)
P2028	Flavonifractor plautii (0.078%)
P1245	Collinsella (0.002%)
P708	Alistipes onderdonkii (0.14%)
P490	Bacteroides uniformis (0.377%)
P1484	Holdemanella (2.411%)
P800	Prevotella (0.014%)
P1593	CAG-877 (0.006%)
P1918	Veillonella (0.005%)
P810	Prevotella (0.012%)
P2136	Ruminococcaceae (0.116%)
P1501	Erysipelatoclostridium ramosum (0.04%)
P816	Prevotella (0.014%)
P1060	Collinsella (0.001%)
P1606	UBA660 (0.018%)
P1930	Veillonella (0.006%)
P2141	Anaerotruncus (0.1%)
P1613	UBA660 (0.002%)
P592	CAG-1031 (0.01%)
P321	Zag111 (0.008%)
P2579	CAG-508 (0.014%)
P3001	Eubacterium_I (0.172%)
P606	Muribaculaceae (0.019%)
P1385	Atopobiaceae (0.006%)
P335	Gastranaerophilales (0.026%)
P3007	Lachnospiraceae (0.037%)
P2592	CAG-508 (0.146%)
P1391	Atopobiaceae (0.003%)
P2352	Subdoligranulum (1.024%)
P2464	CAG-475 (0.001%)
P2478	4C28d-15 (0.007%)
P2373	Oscillospirales (0.019%)
P2691	Peptoniphilus_A (0.0%)
P97	Providencia alcalifaciens (0.0%)
P1710	Lactobacillus (0.0%)
P1259	Collinsella (0.004%)
P2700	Tissierellales (0.001%)
P1718	Pediococcus acidilactici (0.0%)
P2793	Eubacterium_F (0.334%)
P2242	DTU089 (0.003%)
P3212	Dorea formicigenerans (0.239%)
P3220	Dorea (0.173%)
P387	Bacteroides (0.192%)
P2152	Ruminococcaceae (1.26%)
P3225	Lachnospiraceae (0.058%)
P2801	Eubacterium_E hallii (0.121%)
P2158	DTU089 (0.207%)
P2913	Clostridium_Q symbiosum (0.082%)
P401	Bacteroides (0.247%)
P1826	Bacillaceae_A (0.0%)
P1117	Collinsella (0.006%)
P962	Actinomycetales (0.001%)
P1944	Megasphaeraceae (0.006%)
P3019	CAG-65 (0.517%)
P1832	Bacillales (0.0%)
P969	Corynebacterium (0.0%)
P1843	Staphylococcaceae (0.0%)
P838	Prevotella (0.004%)
P2484	CAG-552 (0.017%)
P2040	Clostridium_AJ (0.219%)
P717	Alistipes (0.147%)
P279	UBA1784 (0.002%)
P1512	Erysipelatoclostridium (0.031%)
P2492	CAG-552 (0.004%)
P2045	Clostridium_AJ (0.345%)
P1517	Erysipelatoclostridium (0.06%)
P291	CAG-312 (0.049%)
P1527	Erysipelatoclostridiaceae (1.745%)
P626	Dysgonomonadaceae (0.0%)
P735	Rikenellaceae (0.384%)
P2502	CAG-138 (0.224%)
P1628	UBA660 (0.006%)
P513	Bacteroides clarus (0.023%)
P1734	Lactobacillaceae (0.0%)
P1276	Collinsella (0.004%)
P1404	Eggerthellaceae (2.699%)
P1741	Lactobacillus_C rhamnosus (0.0%)
P1746	Lactobacillus_C paracasei (0.0%)
P1411	CAG-1427 (0.041%)
P1295	Collinsella (0.02%)
P3129	Blautia (0.049%)
P2597	CAG-508 (0.02%)
P902	Bifidobacterium longum (0.037%)
P3241	Ruminococcus_B (0.041%)
P3135	Robinsoniella (0.007%)
P3249	Ruminococcus_B gnavus (0.087%)
P2610	Clostridium_P perfringens (0.0%)
P3148	Lachnospiraceae (0.186%)
P3258	Ruminococcus_B faecis (0.499%)
P19	Escherichia (0.0%)
P1161	Collinsella (0.0%)
P2927	Hungatella (0.023%)
P2712	CAG-145 (0.038%)
P2271	DTU089 (0.035%)
P2717	Emergencia (0.018%)
P2390	CAG-272 (0.017%)
P2722	UBA1191 (0.074%)
P2940	Eubacterium_G ventriosum (0.147%)
P2283	Ruminococcus_D bicirculans (0.62%)
P120	Succinivibrionaceae (0.001%)
P2812	Anaerostipes hadrus (0.313%)
P981	Actinomyces_B (0.014%)
P415	Bacteroides (0.116%)
P130	Pseudomonadales (0.0%)
P2172	DTU089 (0.033%)
P2826	Anaerostipes (0.033%)
P991	Actinomycetaceae (0.001%)
P421	Bacteroides thetaiotaomicron (0.341%)
P136	Burkholderiaceae (0.002%)
P2833	Coprococcus (0.845%)
P1000	Propionibacteriaceae (0.0%)
P142	Sutterella (0.0%)
P2188	Ruminococcus_E (1.796%)
P2061	Oscillospiraceae (0.067%)
P1851	Bacilli (0.0%)
P632	Barnesiella (0.05%)
P1955	Dialister (0.011%)
P1417	Eggerthellaceae (0.014%)
P2066	F23-B02 (0.062%)
P853	TM7x (0.005%)
P1859	Paenibacillaceae (0.0%)
P752	RC9 (0.002%)
P1425	Eggerthellaceae (0.084%)
P2076	Oscillospiraceae (0.127%)
P864	Fusobacterium_A (0.0%)
P647	Bacteroidales (0.058%)
P2081	CAG-103 (0.438%)
P1975	ER4 (1.957%)
P3038	Eisenbergiella (0.044%)
P1638	UBA660 (0.003%)
P301	Elusimicrobiaceae (0.002%)
P273	Spirochaetota (0.009%)
P1648	Enterococcus_D gallinarum (0.001%)
P256	Desulfovibrionaceae (0.257%)
P3054	Blautia_A (0.07%)
P1657	Enterococcus_B (0.035%)
P3156	Lachnospiraceae (0.301%)
P526	Prevotella (0.01%)
P1543	RFN20 (0.011%)
P2412	CAG-41 (0.012%)
P3165	Lachnospiraceae (0.139%)
P2519	Christensenellales (0.019%)
P1181	Collinsella aerofaciens (0.001%)
P2416	Clostridia (0.013%)
P1075	Collinsella (0.002%)
P28	Escherichia coli (0.001%)
P36	Escherichia coli (0.004%)
P1087	Collinsella (0.01%)
P1761	Lactobacillus_H (0.0%)
P3268	Ruminococcus_B torques (0.052%)
P1453	Archaea (0%)
P2301	Ruminococcus_C (0.433%)
P1778	Lactobacillus_B (0.002%)
P2194	DTU089 (0.017%)
P2738	Intestinibacter (0.01%)
P2202	DTU089 (0.055%)
P2965	Lachnospiraceae (0.57%)
P263	Desulfovibrio (0.05%)
P766	Odoribacter (0.305%)
P653	Parabacteroides distasonis (0.181%)
P1981	CAG-83 (0.268%)
P2630	Clostridium saudiense (0.003%)
P180	Helicobacter (0.0%)
P1010	Collinsella (0.002%)
P775	Butyricimonas (0.138%)
P668	Parabacteroides (0.239%)
P2637	Clostridium (0.064%)
P2861	Lachnospiraceae (0.845%)
P872	Fusobacterium_B (0.0%)
P1879	Negativicutes (0.009%)
P434	Bacteroides fragilis (0.55%)
P2089	CAG-110 (0.177%)
P153	Burkholderiaceae (0.487%)
P1558	CAG-313 (0.069%)
P3065	Blautia_A obeum (0.351%)
P880	Fusobacterium animalis (0.0%)
P1883	Phascolarctobacterium (0.093%)
P452	Bacteroides stercoris (0.103%)
P2100	Oscillospiraceae (0.026%)
P3191	Coprococcus_B comes (0.39%)
P1436	Slackia_A (0.009%)
P1319	Collinsella (0.006%)
P2527	CAG-74 (0.134%)
P549	Prevotellamassilia (0.009%)
P2318	Ruminococcaceae (0.049%)
P557	Bacteroidaceae (0.106%)
P1662	Enterococcus faecalis (0.0%)
P2323	Ruminiclostridium_E (0.033%)
P1458	Eubacterium_D (0.095%)
P1339	Collinsella (0.005%)
P1675	Enterococcus faecalis (0.0%)
P49	Escherichia (0.0%)
P1195	Collinsella (0.001%)
P2433	Clostridia (0.046%)
P59	Klebsiella pneumoniae (0.0%)
P1202	Collinsella (0.003%)
P2439	CAG-727 (0.011%)
P462	Bacteroides (1.14%)
P472	Bacteroidaceae (0.051%)
P477	Bacteroidaceae (0.14%)
P169	Burkholderiaceae (0.001%)
P343	Bacteroides_B vulgatus (0.016%)
P1785	Streptococcus (0.004%)
P2651	Clostridium (0.0%)
P307	Gastranaerophilaceae (0.009%)
P2868	Lachnospira (0.643%)
P1790	Streptococcus (0.007%)
P15	RF32 (0.0%)
P313	Zag1 (0.025%)
P2660	Clostridium_J (0.003%)
P1803	Streptococcus (0.018%)
P361	Bacteroides_B vulgatus (0.035%)
P2752	Clostridioides (0.007%)
P2107	Oscillospiraceae (0.481%)
P2773	Lachnospirales (0.119%)
P2221	Eubacterium_R (0.02%)
P2122	Agathobaculum (0.349%)
P184	Helicobacter (0.0%)
P571	CAG-279 (0.012%)
P2002	Oscillibacter (0.283%)
P916	Bifidobacterium breve (0.002%)
P2976	Agathobacter rectalis (1.591%)
P581	CAG-485 (0.006%)
P197	Helicobacter pylori_BT (0.0%)
P2987	Roseburia (0.153%)
P927	Bifidobacterium bifidum (0.0%)
P2009	Oscillibacter (0.256%)
P1575	CAG-302 (0.033%)
P1465	Eubacterium_D (0.081%)
P1348	Collinsella (0.002%)
P1215	Collinsella (0.005%)
P793	Prevotella (0.011%)
P1029	Collinsella (0.012%)
P691	Porphyromonas (0.001%)
P1363	Collinsella (0.016%)
P1586	UBA660 (0.003%)
P1909	Selenomonadaceae (0.005%)
P1223	Collinsella (0.003%)
P1705	Lactobacillus (0.0%)
P2551	CAG-269 (0.055%)
P3087	Blautia_A (0.834%)
P2450	CAG-727 (0.004%)
P3092	Blautia_A (0.066%)
P3202	Dorea longicatena (0.556%)
P2458	CAG-314 (0.004%)
P2566	CAG-508 (0.002%)
P3102	Blautia_A (1.514%)
P2338	Faecalibacterium (3.531%)
P2886	Clostridium_M clostridioformis (0.031%)
P2346	Ruminococcaceae (0.139%)
P2895	Clostridium_M (0.064%)
P72	Klebsiella_A oxytoca (0.0%)
P4	CAG-239 (0.711%)
P1811	Bacillales (0.0%)
P1818	Bacilli (0.0%)
P933	Bifidobacterium (0.001%)
P1097	Collinsella (0.003%)
P372	Bacteroides_A (0.099%)
P944	Bifidobacterium pseudocatenulatum (0.001%)
P2681	Anaerococcus (0.0%)
P3120	Fusicatenibacter (1.02%)
P703	Alistipes_A (0.388%)
P2780	Lachnospiraceae (0.09%)
P2023	Oscillospiraceae (0.293%)
P2788	TF01-11 (0.238%)
P2029	Flavonifractor plautii (0.106%)
P1246	Collinsella (0.002%)
P709	Alistipes onderdonkii (0.146%)
P491	Bacteroides uniformis (0.516%)
P1486	Holdemanella (3.161%)
P2123	Agathobaculum (0.352%)
P3259	Ruminococcus_B (1.468%)
P2101	Oscillospiraceae (0.028%)
P1277	Collinsella (0.006%)
P1392	Atopobiaceae (0.005%)
P1595	UBA660 (0.062%)
P2753	Clostridioides (0.007%)
P2110	Oscillospiraceae (0.53%)
P1919	Veillonella (0.005%)
P1297	Collinsella (0.02%)
P1763	Lactobacillus_H (0.0%)
P3269	Ruminococcus_B torques (0.059%)
P1742	Lactobacillus_C rhamnosus (0.0%)
P817	Prevotella (0.016%)
P2302	Ruminococcus_C (0.439%)
P2222	Eubacterium_R (0.02%)
P1505	Erysipelatoclostridium ramosum (0.063%)
P1931	Veillonella (0.007%)
P1607	UBA660 (0.018%)
P1061	Collinsella (0.001%)
P2142	Ruminococcaceae (0.117%)
P1779	Lactobacillus_B (0.002%)
P1412	CAG-1427 (0.045%)
P1747	Lactobacillus_C paracasei (0.0%)
P2789	Lachnospiraceae (0.252%)
P314	Zag1 (0.03%)
P903	Bifidobacterium longum (0.043%)
P185	Helicobacter (0.0%)
P573	CAG-279 (0.024%)
P2966	Lachnospiraceae (0.593%)
P596	CAG-1031 (0.013%)
P3242	Ruminococcus_B (0.044%)
P3002	Lachnospiraceae (0.518%)
P2581	CAG-508 (0.015%)
P2003	Oscillibacter (0.288%)
P2189	Ruminococcus_E (1.809%)
P3138	Lachnospiraceae (0.044%)
P2739	Intestinibacter (0.035%)
P2977	Agathobacter rectalis (1.926%)
P583	Muribaculaceae (0.006%)
P3250	Ruminococcus_B gnavus (0.094%)
P198	Helicobacter (0.0%)
P611	Muribaculaceae (0.024%)
P3009	Lachnospiraceae (0.043%)
P2611	Clostridium_P perfringens (0.0%)
P2593	CAG-508 (0.146%)
P2011	Oscillibacter (0.358%)
P2205	DTU089 (0.068%)
P20	Escherichia (0.0%)
P1163	Collinsella (0.0%)
P280	UBA1784 (0.003%)
P2713	CAG-145 (0.074%)
P2834	Coprococcus (0.997%)
P2378	Oscillospirales (0.03%)
P2468	CAG-475 (0.005%)
P1459	Eubacterium_D (0.096%)
P1576	UBA660 (0.033%)
P2272	DTU089 (0.036%)
P1676	Enterococcus faecalis (0.0%)
P1001	Propionibacteriaceae (0.0%)
P769	Odoribacter (0.35%)
P654	Parabacteroides distasonis (0.224%)
P1349	Collinsella (0.003%)
P264	Desulfovibrio (0.05%)
P1982	CAG-83 (3.438%)
P1216	Collinsella (0.005%)
P794	Bacteroidaceae (0.011%)
P2631	Clostridium (0.003%)
P2723	Anaerovoracaceae (0.079%)
P1011	Collinsella (0.002%)
P1030	Collinsella (0.017%)
P692	Porphyromonas (0.001%)
P2480	4C28d-15 (0.007%)
P776	Butyricimonas (0.139%)
P669	Parabacteroides (0.439%)
P1910	Selenomonadaceae (0.005%)
P2941	Eubacterium_G ventriosum (0.166%)
P2284	Ruminococcus_D (0.628%)
P2639	Clostridium (0.065%)
P801	Prevotella (0.016%)
P2813	Anaerostipes hadrus (0.432%)
P121	Succinivibrionaceae (0.002%)
P2692	Peptoniphilaceae (0.0%)
P402	Bacteroides (0.321%)
P873	Fusobacterium_B (0.005%)
P98	Providencia alcalifaciens (0.0%)
P2555	CAG-269 (0.069%)
P2173	DTU089 (0.088%)
P982	Actinomyces_B (0.014%)
P2440	CAG-727 (0.013%)
P1711	Lactobacillus (0.0%)
P3088	Blautia_A (1.22%)
P435	Bacteroides fragilis (0.62%)
P2090	CAG-110 (0.191%)
P131	Gammaproteobacteria (0.0%)
P1559	CAG-313 (0.069%)
P3067	Blautia_A obeum (0.506%)
P2827	Anaerostipes (0.038%)
P992	Actinomycetaceae (0.001%)
P881	Fusobacterium animalis (0.0%)
P3093	Blautia_A (0.067%)
P1884	Phascolarctobacterium (0.093%)
P3203	Dorea longicatena (0.695%)
P2702	Tissierellales (0.002%)
P425	Bacteroides (0.37%)
P1720	Pediococcus acidilactici (0.0%)
P143	Burkholderiaceae (0.002%)
P2567	CAG-508 (0.003%)
P454	Bacteroides stercoris (0.121%)
P3193	Coprococcus_B comes (0.536%)
P3213	Dorea formicigenerans (0.276%)
P3103	Blautia_A (1.895%)
P2795	Lachnospiraceae (0.352%)
P633	Barnesiellaceae (0.051%)
P2528	CAG-74 (0.135%)
P550	Prevotellamassilia (0.015%)
P1956	Dialister (0.012%)
P855	TM7x (0.007%)
P753	RC9 (0.009%)
P388	Bacteroides (0.218%)
P2339	Faecalibacterium (3.679%)
P1860	Paenibacillaceae (0.0%)
P3226	Lachnospiraceae (0.072%)
P1663	Enterococcus faecalis (0.0%)
P1427	Eggerthellaceae (0.526%)
P2802	Eubacterium_E hallii (0.157%)
P2887	Clostridium_M clostridioformis (0.036%)
P2327	Ruminococcaceae (0.603%)
P2162	DTU089 (0.279%)
P865	Fusobacterium_A (0.001%)
P2914	Clostridium_Q symbiosum (0.09%)
P2353	Subdoligranulum (1.264%)
P963	Actinobacteria (0.001%)
P1827	Bacillales (0.0%)
P1118	Collinsella (0.006%)
P73	Klebsiella_A oxytoca (0.0%)
P1196	Collinsella (0.001%)
P3040	Eisenbergiella (0.05%)
P1945	Megasphaeraceae (0.006%)
P3020	CAG-65 (0.592%)
P6	CAG-239 (0.713%)
P1833	Bacillales (0.0%)
P971	Corynebacterium (0.0%)
P60	Klebsiella pneumoniae (0.0%)
P1650	Enterococcus_D (0.001%)
P1844	Staphylococcales (0.0%)
P839	Prevotella (0.004%)
P3059	Blautia_A (0.379%)
P2504	CAG-138 (0.232%)
P2046	Clostridium_AJ (0.564%)
P721	Alistipes (0.333%)
P934	Bifidobacterium (0.001%)
P3158	Lachnospiraceae (0.324%)
P1513	Erysipelatoclostridium (0.033%)
P1089	Collinsella (0.01%)
P527	Prevotella (0.01%)
P1098	Collinsella (0.003%)
P463	Bacteroides (1.151%)
P1546	RFN20 (0.054%)
P1518	Erysipelatoclostridium (0.084%)
P373	Bacteroides_A (0.104%)
P3121	Lachnospiraceae (1.078%)
P2683	Anaerococcus (0.0%)
P945	Bifidobacterium pseudocatenulatum (0.001%)
P3166	Lachnospiraceae (0.143%)
P294	CAG-312 (0.049%)
P1531	Erysipelatoclostridiaceae (1.746%)
P473	Bacteroidaceae (0.452%)
P736	Rikenellaceae (0.399%)
P2243	DTU089 (0.004%)
P2418	Clostridia (0.024%)
P2062	Oscillospiraceae (0.199%)
P478	Bacteroidaceae (0.144%)
P1077	Collinsella (0.002%)
P705	Rikenellaceae (0.482%)
P2782	Lachnospiraceae (0.091%)
P344	Bacteroides_B vulgatus (0.02%)
P2024	Oscillospiraceae (0.374%)
P29	Escherichia coli (0.001%)
P1786	Streptococcus (0.004%)
P1632	UBA660 (0.007%)
P1247	Collinsella (0.002%)
P2869	Lachnospira (0.684%)
P1791	Streptococcus (0.009%)
P2030	Flavonifractor plautii (0.119%)
P710	Alistipes onderdonkii (0.194%)
P492	Bacteroides uniformis (0.628%)
P2662	Clostridium_J (0.003%)
P362	Bacteroides_B vulgatus (0.069%)
P2126	Butyricicoccaceae (0.398%)
P1911	Selenomonadaceae (0.006%)
P1278	Collinsella (0.006%)
P1596	UBA660 (0.064%)
P2111	Oscillospiraceae (0.535%)
P1764	Lactobacillaceae (0.0%)
P1393	Atopobiaceae (0.006%)
P1921	Veillonella (0.009%)
P1487	Holdemanella (4.439%)
P802	Prevotella (0.018%)
P3270	Ruminococcus_B torques (0.066%)
P1413	Eggerthellaceae (2.744%)
P1748	Lactobacillus_C (0.0%)
P2304	Ruminococcaceae (0.447%)
P2223	Eubacterium_R (0.023%)
P1508	Erysipelatoclostridium (0.188%)
P1608	UBA660 (0.018%)
P1932	Veillonellaceae (0.007%)
P1065	Collinsella (0.003%)
P2143	Ruminococcaceae (0.122%)
P186	Helicobacter (0.0%)
P904	Bifidobacterium longum (0.049%)
P612	Muribaculaceae (0.037%)
P3245	Ruminococcus_B (0.084%)
P315	Zag1 (0.033%)
P2004	Oscillospiraceae (0.361%)
P2195	DTU089 (1.826%)
P2582	CAG-508 (0.015%)
P3141	Lachnospiraceae (0.087%)
P2978	Agathobacter rectalis (2.261%)
P2740	Peptostreptococcaceae (0.035%)
P3251	Ruminococcus_B (0.096%)
P586	Muribaculaceae (0.007%)
P199	Helicobacter (0.0%)
P2012	Oscillibacter (0.37%)
P3010	Lachnospiraceae (0.053%)
P2612	Clostridium_P perfringens (0.0%)
P2598	CAG-508 (0.167%)
P2207	DTU089 (0.073%)
